park,site,sample_number,date,injection_number,analysis,area,tn_mgl
TN,TIC,3,2022-09-25 7:30,2,TN,22.9,0.768674193
TN,TIC,3,2022-09-25 7:34,3,TN,23.3,0.782839032
TN,BFF,1,2022-09-25 7:42,1,TN,25.82,0.872077516
TN,BFF,1,2022-09-25 7:47,2,TN,25.56,0.862870371
TN,BFF,1,2022-09-25 7:51,3,TN,25.41,0.857558557
TN,BFF,2,2022-09-25 8:15,1,TN,20.67,0.689705217
TN,BFF,2,2022-09-25 8:19,2,TN,20.27,0.675540378
TN,BFF,2,2022-09-25 8:24,3,TN,20.55,0.685455765
TN,BFF,3,2022-09-25 8:31,1,TN,21.07,0.703870056
TN,BFF,3,2022-09-25 8:36,2,TN,21.47,0.718034894
TN,BFF,3,2022-09-25 8:40,3,TN,21.07,0.703870056
TN,GTG,1,2022-09-25 8:54,2,TN,21.16,0.707057144
TN,GTG,1,2022-09-25 9:03,4,TN,21.52,0.719805499
TN,GTG,1,2022-09-25 9:07,5,TN,20.68,0.690059338
TN,GTG,2,2022-09-25 9:15,1,TN,18.36,0.607903273
TN,GTG,2,2022-09-25 9:25,3,TN,17.85,0.589843103
TN,GTG,2,2022-09-25 9:29,4,TN,18.54,0.61427745
TN,GTG,3,2022-09-25 9:43,2,TN,18.31,0.606132668
TN,GTG,3,2022-09-25 9:47,3,TN,18.46,0.611444482
TN,GTG,3,2022-09-25 9:52,4,TN,18.08,0.597987886
TN,GTG,blank,2022-09-25 9:59,1,TN,11.52,0.365684529
TN,GTG,blank,2022-09-25 10:03,2,TN,11.44,0.362851561
TN,GTG,blank,2022-09-25 10:11,4,TN,11.38,0.360726836
TN,CHR,3,2022-09-24 19:04,1,TN,32.96,1.124919889
TN,SAL,1,2022-09-24 19:36,3,TN,25.43,0.858266799
TN,ARB,3,2022-09-24 21:04,2,TN,33.99,1.161394349
TN,SWR,2,2022-09-24 23:26,3,TN,26.92,0.911030823
TN,BIG,1,2022-09-25 3:31,2,TN,17.07,0.562221668
TN,BIG,1,2022-09-25 3:35,3,TN,17.04,0.561159305
TN,BIG,2,2022-09-25 4:01,3,TN,17.42,0.574615902
TN,JUS,3,2022-09-25 5:36,2,TN,34.36,1.174496825
TN,BLD,3,2022-09-25 6:28,1,TN,26.18,0.884825871
TN,GTG,1,2022-09-25 8:49,1,TN,19.83,0.659959055
TN,GTG,1,2022-09-25 8:58,3,TN,19.9,0.662437902
TN,GTG,2,2022-09-25 9:20,2,TN,17.63,0.582052442
TN,GTG,3,2022-09-25 9:38,1,TN,17.56,0.579573595
TN,GTG,blank,2022-09-25 10:07,3,TN,10.79,0.339833698
GM,MIT,1,2022-09-22 16:47,1,TN,21.54,0.73290649
GM,MIT,1,2022-09-22 16:52,2,TN,20.92,0.711066434
GM,MIT,1,2022-09-22 17:01,4,TN,21.48,0.730792937
GM,MIT,2,2022-09-22 17:09,1,TN,19.74,0.669499875
GM,MIT,2,2022-09-22 17:14,2,TN,19.9,0.675136018
GM,MIT,2,2022-09-22 17:23,4,TN,19.99,0.678306349
GM,MIT,3,2022-09-22 17:31,1,TN,17.08,0.575798987
GM,MIT,3,2022-09-22 17:36,2,TN,16.87,0.568401548
GM,MIT,3,2022-09-22 17:41,3,TN,17.17,0.578969317
GM,SLA,1,2022-09-22 17:49,1,TN,26.1,0.893536584
GM,SLA,1,2022-09-22 17:54,2,TN,26.21,0.897411433
GM,SLA,1,2022-09-22 18:00,3,TN,25.36,0.86746942
GM,SLA,2,2022-09-22 18:08,1,TN,25.51,0.872753304
GM,SLA,2,2022-09-22 18:13,2,TN,25.65,0.87768493
GM,SLA,2,2022-09-22 18:18,3,TN,26.14,0.89494562
GM,SLA,3,2022-09-22 18:26,1,TN,33.52,1.154912745
GM,SLA,3,2022-09-22 18:31,2,TN,33.86,1.16688955
GM,SLA,3,2022-09-22 18:36,3,TN,33.9,1.168298586
GM,SLA,blank,2022-09-22 18:44,1,TN,13.84,0.461667078
GM,SLA,blank,2022-09-22 18:48,2,TN,13.73,0.457792229
GM,SLA,blank,2022-09-22 18:57,4,TN,13.65,0.454974157
GM,RHB,1,2022-09-22 19:04,1,TN,21.44,0.729383901
GM,RHB,1,2022-09-22 19:09,2,TN,21.42,0.728679383
GM,RHB,1,2022-09-22 19:14,3,TN,21.6,0.735020044
GM,RHB,2,2022-09-22 19:22,1,TN,21.63,0.736076821
GM,RHB,2,2022-09-22 19:26,2,TN,21.71,0.738894893
GM,RHB,2,2022-09-22 19:36,4,TN,21.15,0.71916839
GM,RHB,3,2022-09-22 19:44,1,TN,21.35,0.72621357
GM,RHB,3,2022-09-22 19:48,2,TN,22.11,0.752985252
