park,site,sample_number,date,injection_number,area,doc_mgl
GM,MAC,3,2022-09-23 1:34,1,285.2,11.84834434
GM,MAC,3,2022-09-23 1:40,2,284.5,11.818335
GM,MAC,3,2022-09-23 1:44,3,281.4,11.68543648
GM,HOR,1,2022-09-23 2:02,3,549.6,23.18330158
GM,HOR,1,2022-09-23 2:07,4,529.7,22.33017885
GM,HOR,1,2022-09-23 2:12,5,524.2,22.09439116
GM,HOR,2,2022-09-23 2:20,1,599.6,25.32682602
GM,HOR,2,2022-09-23 2:25,2,605.3,25.5711878
GM,HOR,2,2022-09-23 2:30,3,597.5,25.23679799
GM,HOR,3,2022-09-23 2:38,1,552.3,23.2990519
GM,HOR,3,2022-09-23 2:43,2,555.7,23.44481156
GM,HOR,3,2022-09-23 2:48,3,538.7,22.71601325
GM,MAS,1,2022-09-23 3:02,2,443.6,18.63902977
GM,MAS,1,2022-09-23 3:07,3,449.3,18.88339155
GM,MAS,1,2022-09-23 3:12,4,440.6,18.5104183
GM,MAS,2,2022-09-23 3:25,1,326.8,13.63175667
GM,MAS,2,2022-09-23 3:30,2,323.9,13.50743226
GM,MAS,2,2022-09-23 3:35,3,323.1,13.47313587
GM,MAS,3,2022-09-23 11:38,3,3.167,-0.242548226
GM,MAS,3,2022-09-23 11:42,4,2.92,-0.253137237
GM,MAS,3,2022-09-23 11:45,5,3.387,-0.233116719
GM,MAS,blank,2022-09-23 11:53,1,201.5,8.260084428
GM,MAS,blank,2022-09-23 11:57,2,198.4,8.127185913
GM,MAS,blank,2022-09-23 12:01,3,197.8,8.10146362
GM,BER,1,2022-09-23 12:18,1,353.5,14.77639873
GM,BER,1,2022-09-23 12:22,2,345.1,14.41628662
GM,BER,1,2022-09-23 12:27,3,353,14.75496348
GM,BER,2,2022-09-23 12:35,1,498.8,21.00548075
GM,BER,2,2022-09-23 12:39,2,507.4,21.37416695
GM,BER,2,2022-09-23 12:44,3,501.5,21.12123107
GM,BER,3,2022-09-23 12:52,1,527.7,22.24443787
GM,BER,3,2022-09-23 12:56,2,523.3,22.05580772
GM,BER,3,2022-09-23 13:01,3,529.2,22.30874361
GM,CCR,1,2022-09-23 13:13,1,219,9.010317982
GM,CCR,1,2022-09-23 13:18,2,219.1,9.014605031
GM,CCR,1,2022-09-23 13:22,3,216.1,8.885993565
GM,CCR,2,2022-09-23 13:34,1,2230,95.22287095
GM,CCR,2,2022-09-23 13:39,2,2244,95.8230578
GM,CCR,2,2022-09-23 13:44,3,2233,95.35148242
GM,CCR,3,2022-09-23 14:00,1,308.6,12.85151378
GM,CCR,3,2022-09-23 14:05,2,308.2,12.83436558
GM,CCR,3,2022-09-23 14:09,3,307.9,12.82150444
GM,WAT,1,2022-09-23 14:17,1,235.4,9.713393999
GM,WAT,1,2022-09-23 14:21,2,235.2,9.704819901
GM,WAT,1,2022-09-23 14:26,3,235.4,9.713393999
GM,WAT,2,2022-09-23 14:38,1,245.8,10.15924708
GM,WAT,2,2022-09-23 14:42,2,246.6,10.19354347
GM,WAT,2,2022-09-23 14:47,3,247,10.21069167
GM,WAT,3,2022-09-23 15:02,1,295.1,12.27276218
GM,WAT,3,2022-09-23 15:06,2,292.1,12.14415071
GM,WAT,3,2022-09-23 15:10,3,292.8,12.17416006
GM,WAT,blank,2022-09-23 16:20,1,169.8,6.901089934
GM,WAT,blank,2022-09-23 16:24,2,168.1,6.828210103
GM,WAT,blank,2022-09-23 16:28,3,166.1,6.742469125
GM,HCT,1,2022-09-23 16:44,1,177.2,7.218331551
GM,HCT,1,2022-09-23 16:49,2,175.6,7.149738769
GM,HCT,1,2022-09-23 16:54,3,176.7,7.196896306
GM,HCT,2,2022-09-23 17:01,1,214.2,8.804539636
GM,HCT,2,2022-09-23 17:06,2,213.4,8.770243245
GM,HCT,2,2022-09-23 17:11,3,210.1,8.628770632
GM,HCT,3,2022-09-23 17:23,1,250.3,10.35216428
GM,HCT,3,2022-09-23 17:27,2,248.9,10.2921456
GM,HCT,3,2022-09-23 17:32,3,250.4,10.35645133
GM,BRY,1,2022-09-23 17:40,1,259.4,10.74228573
GM,BRY,1,2022-09-23 17:44,2,258.5,10.70370229
