spatial_extent,model,model_number,predictor,estimate,log_likelihood,delta_aic,aic,adjusted_r2
catchment,total nitrogen,2,wetted width,-0.2 (0.18),2.763884354,6.226914779,7.19950402,-0.046684338
catchment,total nitrogen,2,% wetland,-0.12 (0.19),2.763884354,6.226914779,7.19950402,-0.046684338
catchment,total nitrogen,3,intercept,0.31 (0.1),3.395656697,4.963370091,5.935959332,-0.000500924
catchment,total nitrogen,3,human impact,0.19 (0.17),3.395656697,4.963370091,5.935959332,-0.000500924
catchment,total nitrogen,3,wetted width,-0.18 (0.17),3.395656697,4.963370091,5.935959332,-0.000500924
catchment,total nitrogen,3,% wetland,-0.09 (0.18),3.395656697,4.963370091,5.935959332,-0.000500924
catchment,total nitrogen,4,intercept,0.35 (0.11),3.706089381,7.615231997,8.587821238,-0.021106303
catchment,total nitrogen,4,road density,-0.12 (0.17),3.706089381,7.615231997,8.587821238,-0.021106303
catchment,total nitrogen,4,human impact,0.22 (0.17),3.706089381,7.615231997,8.587821238,-0.021106303
catchment,total nitrogen,4,wetted width,-0.19 (0.17),3.706089381,7.615231997,8.587821238,-0.021106303
catchment,total nitrogen,4,% wetland,-0.11 (0.19),3.706089381,7.615231997,8.587821238,-0.021106303
catchment,total nitrogen,5,intercept,0.19 (0.14),5.026177039,4.975056681,5.947645922,0.070775885
catchment,total nitrogen,5,forest disturbance,0.39 (0.19),5.026177039,4.975056681,5.947645922,0.070775885
catchment,total nitrogen,5,road density,-0.17 (0.17),5.026177039,4.975056681,5.947645922,0.070775885
catchment,total nitrogen,5,wetted width,-0.17 (0.17),5.026177039,4.975056681,5.947645922,0.070775885
catchment,total nitrogen,5,% wetland,0.08 (0.2),5.026177039,4.975056681,5.947645922,0.070775885
catchment,total nitrogen,6,intercept,0.06 (0.15),5.984884253,3.057642253,4.030231494,0.132278451
catchment,total nitrogen,6,forest disturbance,0.39 (0.18),5.984884253,3.057642253,4.030231494,0.132278451
catchment,total nitrogen,6,human impact,0.26 (0.16),5.984884253,3.057642253,4.030231494,0.132278451
catchment,total nitrogen,6,wetted width,-0.14 (0.16),5.984884253,3.057642253,4.030231494,0.132278451
catchment,total nitrogen,6,% wetland,0.13 (0.2),5.984884253,3.057642253,4.030231494,0.132278451
catchment,total nitrogen,7,intercept,0.07 (0.14),8.059812529,2.507785701,3.480374942,0.21779765
