"extent","model","model_num","k","delta_aicc","log_likelihood","adj_r2","% lake","% wetland","(intercept)","canopy","forest disturbance","human impact","road density","substrate size","wetted width"
"catchment","specific_conductivity","null",2,5.51242811169139,2.51945256332928,0,NA,NA,"0.18 ( 0.04 )",NA,NA,NA,NA,NA,NA
"catchment","specific_conductivity","1",5,11.9000935648228,3.44925620039993,-0.0527107353590084,NA,"-0.17 ( 0.21 )","0.22 ( 0.14 )",NA,"0.06 ( 0.19 )",NA,NA,NA,"-0.06 ( 0.17 )"
"catchment","specific_conductivity","2",5,5.03570121028177,6.88145237767045,0.176167774516182,NA,"-0.12 ( 0.17 )","0.11 ( 0.1 )",NA,NA,NA,"0.38 ( 0.15 )",NA,"-0.02 ( 0.15 )"
"catchment","specific_conductivity","3",5,4.43624225665895,7.18118185448186,0.193617939242857,NA,"-0.18 ( 0.16 )","0.16 ( 0.08 )",NA,NA,"0.4 ( 0.15 )",NA,NA,"-0.05 ( 0.15 )"
"catchment","specific_conductivity","4",6,2.77227459976689,9.64952931929153,0.294570574047853,NA,"-0.12 ( 0.15 )","0.06 ( 0.09 )",NA,NA,"0.32 ( 0.14 )","0.3 ( 0.14 )",NA,"-0.02 ( 0.14 )"
"catchment","specific_conductivity","5",6,8.00841495563407,7.03145914135794,0.149510773150209,NA,"-0.17 ( 0.19 )","0.15 ( 0.13 )",NA,"-0.09 ( 0.18 )",NA,"0.4 ( 0.16 )",NA,"-0.03 ( 0.15 )"
"catchment","specific_conductivity","6",6,6.60679323139539,7.73227000347728,0.19103647769052,NA,"-0.09 ( 0.19 )","0.05 ( 0.14 )",NA,"0.16 ( 0.17 )","0.43 ( 0.15 )",NA,NA,"-0.04 ( 0.15 )"
"catchment","specific_conductivity","7",7,6.3170291396138,9.67715204936807,0.263959280485803,NA,"-0.1 ( 0.18 )","0.05 ( 0.13 )",NA,"0.04 ( 0.18 )","0.33 ( 0.15 )","0.28 ( 0.16 )",NA,"-0.02 ( 0.14 )"
"catchment","specific_conductivity","8",4,9.01284123022668,3.39881122145294,-0.0142502893742789,NA,"-0.2 ( 0.18 )","0.25 ( 0.09 )",NA,NA,NA,NA,NA,"-0.07 ( 0.17 )"
"catchment","specific_conductivity","9",3,7.16029664195763,2.95551829819616,-0.00661455567434399,NA,NA,"0.11 ( 0.08 )",NA,"0.15 ( 0.16 )",NA,NA,NA,NA
"catchment","specific_conductivity","10",3,0,6.53566661917497,0.220523005896191,NA,NA,"0.06 ( 0.05 )",NA,NA,NA,"0.41 ( 0.14 )",NA,NA
